2567,0.00,110.00
2586,0.00,110.00
2605,0.00,110.00
2623,0.00,110.00
2642,0.00,110.00
2661,0.00,110.00
2679,110.00,0.00
2698,110.00,0.00
2717,110.00,0.00
2736,110.00,0.00
2754,110.00,0.00
2772,110.00,0.00
2792,110.00,0.00
2810,0.00,110.00
2829,0.00,110.00
2848,110.00,0.00
2867,110.00,0.00
2885,110.00,0.00
2904,0.00,110.00
2923,0.00,110.00
2941,110.00,0.00
2960,110.00,0.00
2979,110.00,0.00
2998,0.00,110.00
3016,0.00,110.00
3035,0.00,110.00
3054,110.00,0.00
3072,110.00,0.00
3091,110.00,0.00
3110,110.00,0.00
3129,110.00,0.00
3147,0.00,110.00
3166,0.00,110.00
3185,0.00,110.00
3204,110.00,0.00
3222,110.00,0.00
3241,110.00,0.00
3260,110.00,0.00
3278,110.00,0.00
3297,110.00,0.00
3316,110.00,0.00
3335,110.00,0.00
3353,110.00,0.00
3371,110.00,0.00
3391,110.00,0.00
3409,0.00,110.00
3428,0.00,110.00
3447,0.00,110.00
3466,0.00,110.00
3484,0.00,110.00
3503,110.00,0.00
3522,110.00,0.00
3540,110.00,0.00
3559,110.00,0.00
3578,0.00,110.00
3597,0.00,110.00
3615,0.00,110.00
3634,0.00,110.00
3653,0.00,110.00
3672,0.00,110.00
3690,0.00,110.00
3709,0.00,110.00
3728,110.00,0.00
3746,110.00,0.00
3765,110.00,0.00
3784,110.00,0.00
3803,110.00,0.00
3821,110.00,0.00
3840,0.00,110.00
3859,0.00,110.00
3877,0.00,110.00
3896,0.00,110.00
3915,110.00,0.00
3934,110.00,0.00
3952,110.00,0.00
3971,110.00,0.00
3990,110.00,0.00
4008,110.00,0.00
4027,110.00,0.00
4046,110.00,0.00
4065,110.00,0.00
4083,110.00,0.00
4102,110.00,0.00
4121,110.00,0.00
4139,110.00,0.00
4158,0.00,110.00
4177,0.00,110.00
4196,0.00,110.00
4214,0.00,110.00
4233,0.00,110.00
4252,0.00,110.00
4271,0.00,110.00
4289,110.00,0.00
4308,110.00,0.00
4327,110.00,0.00
4345,110.00,0.00
4364,110.00,0.00
4383,110.00,0.00
4402,110.00,0.00
4420,110.00,0.00
4440,0.00,110.00
4458,0.00,110.00
4476,0.00,110.00
4495,0.00,110.00
4514,0.00,110.00
4533,0.00,110.00
4551,0.00,110.00
4570,0.00,110.00
4589,0.00,110.00
4607,0.00,110.00
4626,0.00,110.00
4645,0.00,110.00
4664,0.00,110.00
4682,110.00,0.00
4701,110.00,0.00
4720,110.00,0.00
4739,110.00,0.00
4757,110.00,0.00
4776,110.00,0.00
4795,110.00,0.00
4813,110.00,0.00
4832,110.00,0.00
4851,110.00,0.00
4870,0.00,110.00
4888,110.00,0.00
4907,110.00,0.00
4926,110.00,110.00
4946,110.00,110.00
4967,110.00,110.00
4988,110.00,97.51
5008,110.00,0.00
5026,0.00,110.00
5046,110.00,110.00
5066,110.00,110.00
5087,110.00,110.00
5108,110.00,110.00
5129,110.00,110.00
5149,110.00,110.00
5170,110.00,110.00
5191,110.00,110.00
5212,110.00,110.00
5232,110.00,110.00
5254,110.00,110.00
5274,110.00,110.00
5295,110.00,110.00
5316,110.00,110.00
5337,110.00,110.00
5357,110.00,110.00
5379,110.00,110.00
5399,110.00,110.00
5419,110.00,110.00
5441,110.00,110.00
